phrase,total_occurrences
coronavirus,22908
covid19,21500
pandemic,15854
covid,13870
19,13641
covid 19,13534
amp,11950
health,10825
help,8828
need,8256
https,7911
today,6284
gov,6211
must,5569
crisis,5412
care,5168
response,5138
workers,5107
relief,4861
act,4755
house,4751
americans,4632
work,4616
public,4424
support,4357
spread,4301
testing,4257
families,4203
resources,4164
people,4161
us,4120
get,4104
communities,4084
businesses,4075
keep,3879
small,3793
state,3759
www,3687
continue,3617
trump,3590
working,3578
ensure,3572
federal,3557
protect,3551
new,3482
funding,3365
safe,3320
https www,3317
bill,3310
health care,3241
provide,3203
congress,3198
time,3193
community,3166
local,3064
make,3019
thank,3018
information,2999
social,2938
senate,2892
take,2782
lives,2754
join,2753
fight,2746
country,2728
public health,2672
economic,2660
small businesses,2639
emergency,2622
home,2622
many,2594
questions,2592
american,2570
important,2567
http,2542
across,2521
com,2520
access,2469
president,2467
like,2459
hall,2455
call,2444
critical,2444
live,2439
house gov,2436
town,2435
distancing,2411
stay,2389
town hall,2316
social distancing,2306
one,2297
joined,2283
assistance,2273
together,2258
please,2244
coronavirus pandemic,2204
masks,2201
first,2194
medical,2185
outbreak,2184
